L2 10.10.1.0/30 [16978140/115] Label: None, low priority
L2 10.10.1.12/30 [16977665/115] Label: None, low priority
L2 10.10.1.16/30 [16977416/115] Label: None, low priority
L2 10.10.1.28/30 [16977816/115] Label: None, low priority
L2 10.10.1.36/30 [16977317/115] Label: None, low priority
L2 10.10.1.40/30 [16977566/115] Label: None, low priority
L2 10.10.1.60/30 [16977816/115] Label: None, low priority
L2 10.10.1.68/30 [16977316/115] Label: None, low priority
L2 10.10.1.80/30 [16977214/115] Label: None, low priority
L2 10.10.1.88/30 [16977316/115] Label: None, low priority
L2 10.10.1.92/30 [16977416/115] Label: None, low priority
L2 10.10.1.96/30 [16977214/115] Label: None, low priority
L2 10.10.1.100/30 [1200202/115] Label: None, low priority
L2 10.10.1.116/30 [1200103/115] Label: None, low priority
L2 10.10.1.124/30 [1200602/115] Label: None, low priority
L2 10.10.1.128/30 [1200602/115] Label: None, low priority
L2 10.10.1.140/30 [16977317/115] Label: None, low priority
L2 10.10.1.148/30 [3700103/115] Label: None, low priority
L2 10.10.1.156/30 [16887317/115] Label: None, low priority
L2 10.10.1.160/30 [16977416/115] Label: None, low priority
L2 10.10.1.164/30 [16977416/115] Label: None, low priority
L2 10.10.1.172/30 [1200926/115] Label: None, low priority
L2 10.10.1.176/30 [1200102/115] Label: None, low priority
L2 10.10.1.180/30 [16978140/115] Label: None, low priority
L2 10.10.1.184/30 [1200103/115] Label: None, low priority
L2 10.10.1.188/30 [16978140/115] Label: None, low priority
L2 10.10.1.192/30 [16977214/115] Label: None, low priority
L2 10.10.4.73/32 [110101/115] Label: None, medium priority
L2 10.10.4.75/32 [110101/115] Label: None, medium priority
L2 10.10.4.76/32 [110101/115] Label: None, medium priority
L2 10.10.4.80/32 [110101/115] Label: None, medium priority
L2 10.19.40.192/29 [110101/115] Label: None, low priority
L2 10.66.130.68/30 [310201/115] Label: None, low priority
L2 10.66.130.72/30 [310201/115] Label: None, low priority
L2 10.66.131.68/30 [310202/115] Label: None, low priority
L2 10.66.131.72/30 [310202/115] Label: None, low priority
L2 10.66.131.76/30 [310202/115] Label: None, low priority
L2 10.66.131.80/30 [310202/115] Label: None, low priority
L2 10.74.1.70/32 [110101/115] Label: None, medium priority
L2 10.86.93.0/25 [110101/115] Label: None, low priority
L2 10.86.138.128/25 [110101/115] Label: None, low priority
L2 10.105.26.0/24 [110101/115] Label: None, low priority
L2 10.105.27.0/24 [110101/115] Label: None, low priority
L2 10.131.51.252/30 [200602/115] Label: None, low priority
L2 10.133.130.76/30 [310201/115] Label: None, low priority
L2 10.133.130.80/30 [310201/115] Label: None, low priority
L2 10.134.0.11/32 [100452/115] Label: 18011, medium priority
L2 10.134.0.14/32 [140451/115] Label: 16014, medium priority
L2 10.134.0.15/32 [140452/115] Label: 18015, medium priority
L2 10.134.0.23/32 [100576/115] Label: 16023, medium priority
L2 10.134.0.24/32 [16887215/115] Label: 16024, medium priority
L2 10.134.0.25/32 [16887216/115] Label: 18025, medium priority
L2 10.134.0.26/32 [600001/115] Label: 16026, medium priority
L2 10.134.0.38/32 [100326/115] Label: 16038, medium priority
L2 10.134.0.39/32 [16887316/115] Label: 16039, medium priority
L2 10.134.0.40/32 [16887317/115] Label: 18040, medium priority
L2 10.134.0.41/32 [100103/115] Label: 18041, medium priority
L2 10.134.0.44/32 [140102/115] Label: 16044, medium priority
L2 10.134.0.45/32 [140102/115] Label: 18045, medium priority
L2 10.134.0.47/32 [100102/115] Label: 16047, medium priority
L2 10.134.0.48/32 [100102/115] Label: 18048, medium priority
L2 10.134.0.61/32 [100202/115] Label: 18061, medium priority
L2 10.134.0.62/32 [100201/115] Label: 16062, medium priority
L2 10.134.0.63/32 [100201/115] Label: 18063, medium priority
L2 10.134.0.64/32 [140201/115] Label: 16064, medium priority
L2 10.134.0.65/32 [140201/115] Label: 18065, medium priority
L2 10.134.0.67/32 [110201/115] Label: 16067, medium priority
L2 10.134.0.68/32 [110202/115] Label: 18068, medium priority
L2 10.134.0.70/32 [16887415/115] Label: 16070, medium priority
L2 10.134.0.71/32 [16887416/115] Label: 18071, medium priority
L2 10.134.0.151/32 [100102/115] Label: 18151, medium priority
L2 10.134.0.152/32 [100101/115] Label: 16152, medium priority
L2 10.134.0.153/32 [100101/115] Label: 18152, medium priority
L2 10.134.0.154/32 [140101/115] Label: 16154, medium priority
L2 10.134.0.155/32 [140101/115] Label: 18155, medium priority
L2 10.134.0.156/32 [110101/115] Label: 16156, medium priority
L2 10.134.0.157/32 [110102/115] Label: 18157, medium priority
L2 10.134.0.159/32 [16887315/115] Label: 16159, medium priority
L2 10.134.0.160/32 [16887316/115] Label: 18160, medium priority
L2 10.134.0.181/32 [100001/115] Label: 16181, medium priority
L2 10.134.0.182/32 [100001/115] Label: 18182, medium priority
L2 10.134.0.184/32 [140000/115] Label: 16184, medium priority
L2 10.134.0.185/32 [140000/115] Label: 18185, medium priority
L2 10.134.0.186/32 [100000/115] Label: 16186, medium priority
L2 10.134.0.187/32 [100000/115] Label: 18187, medium priority
L2 10.134.0.225/32 [310101/115] Label: 18225, medium priority
L2 10.134.0.226/32 [310001/115] Label: 18226, medium priority
L2 10.134.2.0/30 [1110101/115] Label: None, low priority
L2 10.134.2.4/30 [1110103/115] Label: None, low priority
L2 10.134.2.8/30 [16887415/115] Label: None, low priority
L2 10.134.2.12/30 [1110201/115] Label: None, low priority
L2 10.134.2.16/30 [1110203/115] Label: None, low priority
L2 10.134.2.20/30 [16887515/115] Label: None, low priority
L2 10.134.2.32/30 [100201/115] Label: None, low priority
L2 10.134.2.36/30 [100202/115] Label: None, low priority
L2 10.134.2.44/30 [100452/115] Label: None, low priority
L2 10.134.2.52/30 [100102/115] Label: None, low priority
L2 10.134.2.60/30 [100201/115] Label: None, low priority
L2 10.134.2.68/30 [110001/115] Label: None, low priority
L2 10.134.2.72/30 [1100001/115] Label: None, low priority
L2 10.134.2.76/30 [110101/115] Label: None, low priority
L2 10.134.2.80/30 [100352/115] Label: None, low priority
L2 10.134.2.84/30 [100451/115] Label: None, low priority
L2 10.134.2.88/30 [100202/115] Label: None, low priority
L2 10.134.2.112/30 [1110102/115] Label: None, low priority
L2 10.134.2.116/30 [1110104/115] Label: None, low priority
L2 10.134.2.120/30 [110102/115] Label: None, low priority
L2 10.134.2.124/30 [16887416/115] Label: None, low priority
L2 10.134.2.128/30 [1110001/115] Label: None, low priority
L2 10.134.2.132/30 [1110003/115] Label: None, low priority
L2 10.134.2.140/30 [16887315/115] Label: None, low priority
L2 10.134.2.192/30 [140451/115] Label: None, low priority
L2 10.134.2.196/30 [140452/115] Label: None, low priority
L2 10.134.2.244/30 [110101/115] Label: None, low priority
L2 10.134.2.248/30 [100101/115] Label: None, low priority
L2 10.134.2.252/30 [180201/115] Label: None, low priority
L2 10.134.9.4/30 [100102/115] Label: None, low priority
L2 10.134.9.8/30 [100001/115] Label: None, low priority
L2 10.134.9.12/30 [100001/115] Label: None, low priority
L2 10.134.9.16/30 [110001/115] Label: None, low priority
L2 10.134.9.20/30 [110002/115] Label: None, low priority
L2 10.134.9.24/30 [600001/115] Label: None, low priority
L2 10.134.9.28/30 [600002/115] Label: None, low priority
L2 10.134.9.32/30 [600102/115] Label: None, low priority
L2 10.134.9.80/30 [100302/115] Label: None, low priority
L2 10.134.9.84/30 [100202/115] Label: None, low priority
L2 10.134.9.88/30 [100202/115] Label: None, low priority
L2 10.134.9.92/30 [110201/115] Label: None, low priority
L2 10.134.9.96/30 [110202/115] Label: None, low priority
L2 10.134.9.100/30 [140201/115] Label: None, low priority
L2 10.134.9.104/30 [140201/115] Label: None, low priority
L2 10.134.9.212/30 [180102/115] Label: None, low priority
L2 10.134.9.236/30 [110301/115] Label: None, low priority
L2 10.134.11.0/30 [210101/115] Label: None, low priority
L2 10.134.11.4/30 [300202/115] Label: None, low priority
L2 10.134.11.8/30 [410102/115] Label: None, low priority
L2 10.134.11.20/30 [100100/115] Label: None, low priority
L2 10.134.11.24/30 [140000/115] Label: None, low priority
L2 10.134.11.28/30 [140000/115] Label: None, low priority
L2 10.134.11.32/30 [180000/115] Label: None, low priority
L2 10.134.11.36/30 [100826/115] Label: None, low priority
L2 10.134.11.44/30 [110602/115] Label: None, low priority
L2 10.134.11.48/30 [2100201/115] Label: None, low priority
L2 10.134.11.52/30 [1100576/115] Label: None, low priority
L2 10.134.11.56/30 [1100602/115] Label: None, low priority
L2 10.134.11.60/30 [1100701/115] Label: None, low priority
L2 10.134.11.64/30 [200202/115] Label: None, low priority
L2 10.134.11.72/30 [1100201/115] Label: None, low priority
L2 10.134.11.76/30 [1100926/115] Label: None, low priority
L2 10.134.11.100/30 [100202/115] Label: None, low priority
L2 10.134.11.104/30 [100102/115] Label: None, low priority
L2 10.134.11.108/30 [100102/115] Label: None, low priority
L2 10.134.11.112/30 [110101/115] Label: None, low priority
L2 10.134.11.116/30 [110102/115] Label: None, low priority
L2 10.134.11.120/30 [140101/115] Label: None, low priority
L2 10.134.11.124/30 [140101/115] Label: None, low priority
L2 10.134.11.128/30 [100202/115] Label: None, low priority
L2 10.134.11.132/30 [100103/115] Label: None, low priority
L2 10.134.11.136/30 [100103/115] Label: None, low priority
L2 10.134.11.140/30 [110102/115] Label: None, low priority
L2 10.134.11.144/30 [110103/115] Label: None, low priority
L2 10.134.11.148/30 [140102/115] Label: None, low priority
L2 10.134.11.152/30 [140102/115] Label: None, low priority
L2 10.134.11.180/30 [110301/115] Label: None, low priority
L2 10.134.11.184/30 [180101/115] Label: None, low priority
L2 10.134.11.208/30 [210301/115] Label: None, low priority
L2 10.134.11.212/30 [210201/115] Label: None, low priority
L2 10.134.11.216/30 [310202/115] Label: None, low priority
L2 10.134.11.220/30 [220101/115] Label: None, low priority
L2 10.134.11.224/30 [210101/115] Label: None, low priority
L2 10.134.11.228/30 [210102/115] Label: None, low priority
L2 10.134.11.232/30 [100201/115] Label: None, low priority
L2 10.134.11.236/30 [100602/115] Label: None, low priority
L2 10.134.11.240/30 [100701/115] Label: None, low priority
L2 10.134.12.0/30 [310102/115] Label: None, low priority
L2 10.134.12.4/30 [200202/115] Label: None, low priority
L2 10.134.12.8/30 [210103/115] Label: None, low priority
L2 10.134.12.12/30 [500452/115] Label: None, low priority
L2 10.134.12.16/30 [200101/115] Label: None, low priority
L2 10.134.12.20/30 [200111/115] Label: None, low priority
L2 10.134.12.40/30 [400201/115] Label: None, low priority
L2 10.134.12.44/30 [450201/115] Label: None, low priority
L2 10.134.13.36/30 [180451/115] Label: None, low priority
L2 10.134.15.0/30 [101426/115] Label: None, low priority
L2 10.134.15.4/30 [101201/115] Label: None, low priority
L2 10.134.15.16/30 [120352/115] Label: None, low priority
L2 10.134.15.24/30 [120826/115] Label: None, low priority
L2 10.134.15.28/30 [100326/115] Label: None, low priority
L2 10.134.15.32/30 [100576/115] Label: None, low priority
L2 10.134.15.36/30 [100576/115] Label: None, low priority
L2 10.134.17.16/30 [100452/115] Label: None, low priority
L2 10.134.135.12/30 [120452/115] Label: None, low priority
L2 10.135.0.6/32 [200202/115] Label: 16006, medium priority
L2 10.135.0.10/32 [400451/115] Label: 16010, medium priority
L2 10.135.0.11/32 [100451/115] Label: 16011, medium priority
L2 10.135.0.12/32 [110451/115] Label: 16012, medium priority
L2 10.135.0.13/32 [110551/115] Label: 18013, medium priority
L2 10.135.0.16/32 [210103/115] Label: 16016, medium priority
L2 10.135.0.17/32 [110951/115] Label: 17017, medium priority
L2 10.135.0.18/32 [111301/115] Label: 17018, medium priority
L2 10.135.0.21/32 [120826/115] Label: 16021, medium priority
L2 10.135.0.22/32 [100352/115] Label: 16022, medium priority
L2 10.135.0.23/32 [100352/115] Label: 18023, medium priority
L2 10.135.0.41/32 [100103/115] Label: 16041, medium priority
L2 10.135.0.42/32 [110102/115] Label: 16042, medium priority
L2 10.135.0.43/32 [110103/115] Label: 18043, medium priority
L2 10.135.0.49/32 [160102/115] Label: 17049, medium priority
L2 10.135.0.50/32 [160852/115] Label: 17050, medium priority
L2 10.135.0.56/32 [210101/115] Label: 16056, medium priority
L2 10.135.0.61/32 [100202/115] Label: 16061, medium priority
L2 10.135.0.67/32 [110701/115] Label: 17067, medium priority
L2 10.135.0.68/32 [110952/115] Label: 17068, medium priority
L2 10.135.0.72/32 [100602/115] Label: 16072, medium priority
L2 10.135.0.73/32 [100701/115] Label: 18073, medium priority
L2 10.135.0.75/32 [1100576/115] Label: 16075, medium priority
L2 10.135.0.76/32 [1100201/115] Label: 16076, medium priority
L2 10.135.0.78/32 [100826/115] Label: 16078, medium priority
L2 10.135.0.79/32 [100926/115] Label: 18079, medium priority
L2 10.135.0.100/32 [120101/115] Label: 16100, medium priority
L2 10.135.0.101/32 [120102/115] Label: 18101, medium priority
